algorithm,ARI,AMI,Purity,SS,CHS,DBS
PCA,0.228,0.291,0.922,0.134,3038.412,2.162
ICA,0.228,0.29,0.928,0.125,2928.826,2.28
Isomap,0.631,0.448,0.943,0.396,2751.06,1.921
ACeDeC,0.225,0.288,0.924,0.089,2749.917,2.735
AEC,0.21,0.26,0.914,0.079,2627.648,2.948
DCN,0.583,0.387,0.924,0.329,2422.237,3.153
DDC,0.604,0.471,0.907,0.461,6168.923,1.085
DEC,0.235,0.307,0.935,0.116,2957.921,2.296
DKM,0.47,0.316,0.868,0.389,1545.155,1.325
DeepECT,0.233,0.27,0.928,0.046,1503.317,3.211
DipDECK,0.614,0.416,0.907,0.349,3538.857,2.031
DipEncoder,0.278,0.3,0.919,0.116,2830.488,2.428
IDEC,0.236,0.308,0.936,0.116,2958.062,2.295
N2D,0.117,0.25,0.907,0.092,2535.787,2.318
VaDE,0.604,0.432,0.926,0.392,3191.315,2.332
