n_clusters_init,dip_merge_threshold,embedding_size,random_state,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
2,0.1,10,42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
2,0.3,10,42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
2,0.5,10,42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
2,0.7,10,42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
2,0.9,10,42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
3,0.1,10,42,0.7486070763344235,0.7484518620264856,0.9536348025186033,0.43050470238820726,1245.029366969637,0.8447709197012168,0.5420727253018289
3,0.3,10,42,0.7486070763344235,0.7484518620264856,0.9536348025186033,0.43050470238820726,1245.029366969637,0.8447709197012168,0.5420727253018289
3,0.5,10,42,0.7486070763344235,0.7484518620264856,0.9536348025186033,0.43050470238820726,1245.029366969637,0.8447709197012168,0.5420727253018289
3,0.7,10,42,0.7486070763344235,0.7484518620264856,0.9536348025186033,0.43050470238820726,1245.029366969637,0.8447709197012168,0.5420727253018289
3,0.9,10,42,0.7486070763344235,0.7484518620264856,0.9536348025186033,0.43050470238820726,1245.029366969637,0.8447709197012168,0.5420727253018289
5,0.1,10,42,0.746607296369956,0.7433555922565651,0.9533485975958786,0.43040043805586314,1240.9363358855476,0.8447017490474318,0.5420930513652847
5,0.3,10,42,0.746607296369956,0.7433555922565651,0.9533485975958786,0.43040043805586314,1240.9363358855476,0.8447017490474318,0.5420930513652847
5,0.5,10,42,0.746607296369956,0.7433555922565651,0.9533485975958786,0.43040043805586314,1240.9363358855476,0.8447017490474318,0.5420930513652847
5,0.7,10,42,0.746607296369956,0.7433555922565651,0.9533485975958786,0.43040043805586314,1240.9363358855476,0.8447017490474318,0.5420930513652847
5,0.9,10,42,0.746607296369956,0.7433555922565651,0.9533485975958786,0.43040043805586314,1240.9363358855476,0.8447017490474318,0.5420930513652847
10,0.1,10,42,0.7390441961017302,0.7322864672160588,0.9524899828277046,0.4300916922203773,1225.5332771556007,0.8435159169022534,0.5424417499363646
10,0.3,10,42,0.7390441961017302,0.7322864672160588,0.9524899828277046,0.4300916922203773,1225.5332771556007,0.8435159169022534,0.5424417499363646
10,0.5,10,42,0.7390441961017302,0.7322864672160588,0.9524899828277046,0.4300916922203773,1225.5332771556007,0.8435159169022534,0.5424417499363646
10,0.7,10,42,0.7390441961017302,0.7322864672160588,0.9524899828277046,0.4300916922203773,1225.5332771556007,0.8435159169022534,0.5424417499363646
10,0.9,10,42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
20,0.1,10,42,0.746607296369956,0.7433555922565651,0.9533485975958786,0.43020589265016734,1239.931788040335,0.8445646429777387,0.5421333450182958
20,0.3,10,42,0.746607296369956,0.7433555922565651,0.9533485975958786,0.43020589265016734,1239.931788040335,0.8445646429777387,0.5421333450182958
20,0.5,10,42,0.746607296369956,0.7433555922565651,0.9533485975958786,0.43020589265016734,1239.931788040335,0.8445646429777387,0.5421333450182958
20,0.7,10,42,0.746607296369956,0.7433555922565651,0.9533485975958786,0.43020589265016734,1239.931788040335,0.8445646429777387,0.5421333450182958
20,0.9,10,42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
